,time,prophet_pred,arima_pred,values,precinct_number
108,2022-07-01,5739.36302530585,5408.883636478324,6221.0,25
109,2022-08-01,6592.342901173153,5959.583320590298,5499.0,25
110,2022-09-01,6447.470202263608,5543.016194136778,5257.0,25
111,2022-10-01,6719.5406321737855,5397.198367508336,5389.0,25
112,2022-11-01,6298.167604207602,5469.01029111103,5664.0,25
113,2022-12-01,5157.876872640784,5628.595153745871,4381.0,25
114,2023-01-01,6029.708943213758,4868.164050079371,5755.0,25
115,2023-02-01,5496.796227516712,5661.395999477914,5554.0,25
116,2023-03-01,6563.866049065165,5546.406384226075,6126.0,25
117,2023-04-01,5710.395076454283,5886.529078888271,4920.0,25
118,2023-05-01,5630.129152810167,5181.436172950235,6123.0,25
119,2023-06-01,4985.4762957374105,5883.71369006245,4471.0,25
120,2023-07-01,5963.78251228668,4913.69032242011,,25
121,2023-08-01,6762.0735516513005,5155.820504878197,,25
122,2023-09-01,6617.462309172203,5288.253996843152,,25
123,2023-10-01,6907.274137583711,5360.6887078567925,,25
124,2023-11-01,6496.489755518342,5400.30698931854,,25
125,2023-12-01,5357.162951378139,5421.976271959657,,25
126,2024-01-01,6243.5800520737885,5433.82832088394,,25
127,2024-02-01,5697.6974971314285,5440.31081806809,,25
128,2024-03-01,6855.638760400276,5443.856430308722,,25
129,2024-04-01,5908.988605248523,5445.795708615185,,25
130,2024-05-01,5827.265053958217,5446.8563999978505,,25
131,2024-06-01,5151.34960093352,5447.436546852231,,25
108,2022-07-01,4135.740095395162,4310.126532182154,5249.0,26
109,2022-08-01,5020.683607554518,4755.279179322409,4990.0,26
110,2022-09-01,4856.886463138149,4658.798396385734,4596.0,26
111,2022-10-01,5326.789993316666,4512.028402265851,5365.0,26
112,2022-11-01,4715.959580862677,4798.490649672425,5097.0,26
113,2022-12-01,3774.640510964204,4698.65725265687,2966.0,26
114,2023-01-01,4365.515695554942,3904.832741313034,4178.0,26
115,2023-02-01,4247.24729944216,4356.31810393562,4932.0,26
116,2023-03-01,5205.761771668999,4637.192661210726,6142.0,26
117,2023-04-01,4283.0816374426695,5087.932998482449,5034.0,26
118,2023-05-01,4474.572055397381,4675.188954104706,5294.0,26
119,2023-06-01,3696.429606382605,4772.042249716812,4530.0,26
120,2023-07-01,4175.300613713108,4487.442565687394,,26
121,2023-08-01,5022.923770565866,4471.589381972118,,26
122,2023-09-01,4846.91529869298,4465.683870092238,,26
123,2023-10-01,5331.824120172049,4463.483992062074,,26
124,2023-11-01,4724.694770820183,4462.664509611435,,26
125,2023-12-01,3795.656741451426,4462.359242011279,,26
126,2024-01-01,4404.027092759556,4462.245525960822,,26
127,2024-02-01,4293.064537196126,4462.203165290627,,26
128,2024-03-01,5413.511832138992,4462.18738540404,,26
129,2024-04-01,4306.548102076262,4462.181507196269,,26
130,2024-05-01,4439.73266478485,4462.1793174893655,,26
131,2024-06-01,3692.567495645492,4462.178501795788,,26
108,2022-07-01,8551.567324457757,9106.0,8807.0,28
109,2022-08-01,10175.30593874863,8807.0,8558.0,28
110,2022-09-01,10023.502777418227,8558.0,8580.0,28
111,2022-10-01,10450.927330057322,8580.0,9518.0,28
112,2022-11-01,9824.986180036529,9518.0,9651.0,28
113,2022-12-01,8445.998741591759,9651.0,7074.0,28
114,2023-01-01,9518.810161407291,7074.0,8677.0,28
115,2023-02-01,8938.04742753575,8677.0,8128.0,28
116,2023-03-01,10413.60826117884,8128.0,10864.0,28
117,2023-04-01,9046.350132179135,10864.0,8690.0,28
118,2023-05-01,8988.8815640718,8690.0,8863.0,28
119,2023-06-01,8035.745449996469,8863.0,7378.0,28
120,2023-07-01,8993.714890221461,7378.0,,28
121,2023-08-01,10578.262555597918,7378.0,,28
122,2023-09-01,10423.528889528818,7378.0,,28
123,2023-10-01,10862.014713450855,7378.0,,28
124,2023-11-01,10245.570768816697,7378.0,,28
125,2023-12-01,8864.43185017923,7378.0,,28
126,2024-01-01,9938.75744185706,7378.0,,28
127,2024-02-01,9363.775570039035,7378.0,,28
128,2024-03-01,10856.19815060847,7378.0,,28
129,2024-04-01,9472.910415167507,7378.0,,28
130,2024-05-01,9433.835560684738,7378.0,,28
131,2024-06-01,8456.787536576996,7378.0,,28
108,2022-07-01,3493.1994669260675,4304.368828990842,4610.0,30
109,2022-08-01,4304.524935493121,4519.170757977647,4368.0,30
110,2022-09-01,4344.297007231962,4224.494087275201,3980.0,30
111,2022-10-01,4393.087226483404,3936.419283555348,3542.0,30
112,2022-11-01,4042.670010823759,3732.920167294201,3428.0,30
113,2022-12-01,3580.2523393097745,3684.184967077648,3342.0,30
114,2023-01-01,3918.336380012705,3678.130401788086,3790.0,30
115,2023-02-01,3514.350402732435,3880.5608048872846,4290.0,30
116,2023-03-01,4137.954610911191,4214.322734475616,4679.0,30
117,2023-04-01,3387.877020837572,4469.562197334917,3200.0,30
118,2023-05-01,3864.65935982037,3787.7520201411016,4361.0,30
119,2023-06-01,2941.072467282852,3815.352379274485,3335.0,30
120,2023-07-01,3468.195340134862,3842.1422946780167,,30
121,2023-08-01,4219.451105465495,3947.9016863202673,,30
122,2023-09-01,4261.177908689661,3952.819693800789,,30
123,2023-10-01,4327.911359410018,4051.653108530704,,30
124,2023-11-01,3987.849460056232,4051.653108530704,,30
125,2023-12-01,3550.2519414399667,4051.653108530704,,30
126,2024-01-01,3860.261776800347,4051.653108530704,,30
